NO,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
808.0,65.0,male,2.0,own,little,little,930.0,12.0,radio/TV
809.0,55.0,male,3.0,free,little,moderate,9283.0,42.0,car
810.0,26.0,female,0.0,rent,little,moderate,1778.0,15.0,car
811.0,26.0,male,2.0,own,little,moderate,907.0,8.0,business
812.0,28.0,male,1.0,own,little,moderate,484.0,6.0,radio/TV
813.0,24.0,male,2.0,own,little,little,9629.0,36.0,car
814.0,54.0,male,2.0,own,little,little,3051.0,48.0,domestic appliances
815.0,46.0,male,2.0,free,little,little,3931.0,48.0,car
816.0,54.0,female,2.0,rent,little,moderate,7432.0,36.0,car
817.0,62.0,male,2.0,own,quite rich,little,1338.0,6.0,domestic appliances
818.0,24.0,female,2.0,rent,little,little,1554.0,6.0,radio/TV
819.0,43.0,male,3.0,own,little,little,15857.0,36.0,vacation/others
820.0,26.0,male,2.0,own,little,little,1345.0,18.0,radio/TV
821.0,27.0,male,2.0,own,little,little,1101.0,12.0,car
822.0,24.0,male,2.0,own,little,rich,3016.0,12.0,radio/TV
823.0,41.0,male,2.0,own,little,little,2712.0,36.0,furniture/equipment
824.0,47.0,male,1.0,own,little,little,731.0,8.0,car
825.0,35.0,male,3.0,own,little,little,3780.0,18.0,furniture/equipment
826.0,30.0,male,2.0,own,little,little,1602.0,21.0,car
827.0,33.0,female,2.0,rent,little,little,3966.0,18.0,car
828.0,36.0,male,2.0,own,little,little,4165.0,18.0,business
829.0,47.0,male,2.0,free,little,little,8335.0,36.0,car
830.0,38.0,male,2.0,free,little,moderate,6681.0,48.0,business
831.0,44.0,male,2.0,own,quite rich,little,2375.0,24.0,business
832.0,23.0,female,2.0,rent,little,little,1216.0,18.0,car
833.0,29.0,male,2.0,rent,little,little,11816.0,45.0,business
834.0,42.0,female,2.0,own,little,moderate,5084.0,24.0,radio/TV
835.0,25.0,female,1.0,own,little,rich,2327.0,15.0,radio/TV
836.0,48.0,male,2.0,own,little,little,1082.0,12.0,car
837.0,21.0,female,2.0,own,little,little,886.0,12.0,radio/TV
838.0,23.0,female,1.0,rent,little,little,601.0,4.0,furniture/equipment
839.0,63.0,male,2.0,own,little,little,2957.0,24.0,car
840.0,46.0,male,2.0,own,little,little,2611.0,24.0,radio/TV
841.0,29.0,male,2.0,own,little,little,5179.0,36.0,furniture/equipment
842.0,28.0,male,1.0,own,little,little,2993.0,21.0,car
843.0,23.0,female,2.0,own,little,little,1943.0,18.0,repairs
844.0,50.0,male,2.0,own,little,little,1559.0,24.0,business
845.0,47.0,male,2.0,own,little,little,3422.0,18.0,furniture/equipment
846.0,35.0,male,2.0,own,little,moderate,3976.0,21.0,furniture/equipment
847.0,68.0,male,2.0,rent,little,little,6761.0,18.0,car
848.0,28.0,male,2.0,own,little,little,1249.0,24.0,car
849.0,59.0,male,2.0,own,little,little,1364.0,9.0,radio/TV
850.0,57.0,male,1.0,own,little,little,709.0,12.0,radio/TV
851.0,33.0,male,2.0,rent,little,little,2235.0,20.0,car
852.0,43.0,male,2.0,own,little,little,4042.0,24.0,car
853.0,35.0,male,2.0,free,little,little,1471.0,15.0,radio/TV
854.0,32.0,male,1.0,free,little,little,1442.0,18.0,car
855.0,45.0,male,2.0,own,little,little,10875.0,36.0,car
856.0,33.0,male,2.0,own,moderate,little,1474.0,24.0,car
857.0,40.0,female,2.0,own,little,little,894.0,10.0,education
858.0,28.0,male,2.0,free,little,little,3343.0,15.0,furniture/equipment
859.0,29.0,female,2.0,own,little,little,3959.0,15.0,car
860.0,26.0,male,2.0,rent,moderate,little,3577.0,9.0,car
861.0,27.0,male,2.0,own,rich,little,5804.0,24.0,car
862.0,28.0,male,2.0,own,little,little,2169.0,18.0,business
863.0,35.0,female,2.0,own,little,little,2439.0,24.0,radio/TV
864.0,32.0,male,1.0,own,rich,little,4526.0,27.0,furniture/equipment
865.0,25.0,male,1.0,rent,little,little,2210.0,10.0,furniture/equipment
866.0,20.0,female,2.0,rent,quite rich,little,2221.0,15.0,furniture/equipment
867.0,27.0,female,2.0,own,little,little,2389.0,18.0,radio/TV
868.0,42.0,male,2.0,own,little,little,3331.0,12.0,furniture/equipment
869.0,37.0,male,2.0,own,little,little,7409.0,36.0,business
870.0,24.0,female,2.0,rent,little,little,652.0,12.0,furniture/equipment
871.0,40.0,female,2.0,own,quite rich,little,7678.0,36.0,furniture/equipment
872.0,46.0,male,2.0,own,little,rich,1343.0,6.0,car
873.0,26.0,male,2.0,own,moderate,little,1382.0,24.0,business
874.0,24.0,female,2.0,own,little,little,874.0,15.0,domestic appliances
875.0,29.0,male,1.0,own,little,little,3590.0,12.0,furniture/equipment
876.0,40.0,female,2.0,own,rich,moderate,1322.0,11.0,car
877.0,36.0,male,3.0,free,little,little,1940.0,18.0,radio/TV
878.0,28.0,male,2.0,own,little,little,3595.0,36.0,radio/TV
879.0,27.0,male,3.0,free,little,little,1422.0,9.0,car
880.0,36.0,male,2.0,own,little,little,6742.0,30.0,radio/TV
881.0,38.0,male,3.0,own,little,little,7814.0,24.0,car
882.0,48.0,male,2.0,free,little,little,9277.0,24.0,car
883.0,36.0,male,2.0,own,little,moderate,2181.0,30.0,car
884.0,65.0,female,0.0,own,little,little,1098.0,18.0,radio/TV
885.0,43.0,male,2.0,own,little,moderate,4057.0,24.0,furniture/equipment
886.0,53.0,female,2.0,own,little,little,795.0,12.0,education
887.0,34.0,male,2.0,own,little,moderate,2825.0,24.0,business
888.0,23.0,male,2.0,own,little,moderate,15672.0,48.0,business
889.0,34.0,male,3.0,own,little,little,6614.0,36.0,car
890.0,40.0,male,2.0,rent,little,little,7824.0,28.0,car
891.0,43.0,male,3.0,own,little,little,2442.0,27.0,business
892.0,46.0,male,2.0,own,little,little,1829.0,15.0,radio/TV
893.0,38.0,male,1.0,own,little,little,2171.0,12.0,car
894.0,34.0,male,2.0,own,little,moderate,5800.0,36.0,car
895.0,29.0,male,2.0,own,little,little,1169.0,18.0,radio/TV
896.0,31.0,male,3.0,own,little,little,8947.0,36.0,car
897.0,28.0,female,3.0,rent,little,little,2606.0,21.0,radio/TV
898.0,35.0,female,2.0,own,rich,little,1592.0,12.0,furniture/equipment
899.0,33.0,female,1.0,rent,little,little,2186.0,15.0,furniture/equipment
900.0,42.0,male,2.0,own,little,little,4153.0,18.0,furniture/equipment
901.0,43.0,male,2.0,rent,little,little,2625.0,16.0,car
902.0,44.0,male,2.0,own,little,little,3485.0,20.0,car
903.0,42.0,male,2.0,free,little,little,10477.0,36.0,car
904.0,40.0,male,2.0,rent,little,little,1386.0,15.0,radio/TV
905.0,36.0,male,3.0,own,little,little,1278.0,24.0,radio/TV
906.0,20.0,male,3.0,rent,little,little,1107.0,12.0,radio/TV
907.0,24.0,male,1.0,own,little,little,3763.0,21.0,car
908.0,27.0,male,2.0,own,little,moderate,3711.0,36.0,education
909.0,46.0,female,1.0,own,little,little,3594.0,15.0,car
910.0,33.0,female,1.0,own,little,moderate,3195.0,9.0,car
911.0,34.0,female,2.0,own,little,little,4454.0,36.0,radio/TV
912.0,25.0,female,1.0,own,little,moderate,4736.0,24.0,furniture/equipment
913.0,25.0,female,2.0,own,little,moderate,2991.0,30.0,radio/TV
914.0,28.0,male,2.0,own,rich,little,2142.0,11.0,business
915.0,31.0,male,2.0,rent,little,little,3161.0,24.0,business
916.0,32.0,female,3.0,own,little,moderate,18424.0,48.0,vacation/others
917.0,32.0,male,2.0,own,moderate,little,2848.0,10.0,car
918.0,68.0,male,3.0,own,little,little,14896.0,6.0,car
919.0,33.0,male,2.0,own,moderate,little,2359.0,24.0,furniture/equipment
920.0,39.0,male,3.0,rent,little,little,3345.0,24.0,furniture/equipment
921.0,28.0,female,2.0,own,little,little,1817.0,18.0,furniture/equipment
922.0,37.0,male,3.0,own,quite rich,little,12749.0,48.0,radio/TV
923.0,22.0,female,2.0,rent,little,little,1366.0,9.0,radio/TV
924.0,30.0,male,2.0,rent,little,moderate,2002.0,12.0,car
925.0,55.0,male,2.0,own,little,little,6872.0,24.0,furniture/equipment
926.0,46.0,male,2.0,own,little,little,697.0,12.0,car
927.0,21.0,female,2.0,rent,little,little,1049.0,18.0,furniture/equipment
928.0,39.0,male,2.0,free,little,little,10297.0,48.0,car
929.0,58.0,male,2.0,own,little,little,1867.0,30.0,radio/TV
930.0,43.0,male,1.0,own,little,little,1344.0,12.0,car
931.0,24.0,male,1.0,own,little,little,1747.0,24.0,furniture/equipment
932.0,22.0,female,2.0,own,little,moderate,1670.0,9.0,radio/TV
933.0,30.0,male,2.0,own,little,little,1224.0,9.0,car
934.0,42.0,male,2.0,own,quite rich,little,522.0,12.0,radio/TV
935.0,23.0,female,2.0,own,little,little,1498.0,12.0,radio/TV
936.0,30.0,male,3.0,own,moderate,moderate,1919.0,30.0,radio/TV
937.0,28.0,female,1.0,own,little,rich,745.0,9.0,radio/TV
938.0,30.0,male,3.0,rent,little,moderate,2063.0,6.0,radio/TV
939.0,42.0,male,2.0,free,little,moderate,6288.0,60.0,education
940.0,46.0,male,3.0,own,little,little,6842.0,24.0,car
941.0,45.0,male,3.0,own,little,little,3527.0,12.0,car
942.0,31.0,male,1.0,own,little,little,1546.0,10.0,car
943.0,31.0,male,2.0,own,little,little,929.0,24.0,furniture/equipment
944.0,42.0,male,1.0,own,little,little,1455.0,4.0,car
945.0,46.0,female,2.0,rent,little,little,1845.0,15.0,furniture/equipment
946.0,30.0,female,2.0,own,quite rich,moderate,8358.0,48.0,car
947.0,30.0,male,2.0,free,quite rich,little,3349.0,24.0,furniture/equipment
948.0,38.0,male,3.0,own,little,little,2859.0,12.0,car
949.0,43.0,male,1.0,own,little,little,1533.0,18.0,furniture/equipment
950.0,31.0,male,2.0,own,moderate,little,3621.0,24.0,radio/TV
951.0,40.0,male,0.0,own,little,moderate,3590.0,18.0,business
952.0,24.0,male,2.0,own,little,little,2145.0,36.0,business
953.0,28.0,female,2.0,rent,quite rich,moderate,4113.0,24.0,car
954.0,26.0,female,3.0,own,little,little,10974.0,36.0,furniture/equipment
955.0,29.0,female,2.0,own,little,little,1893.0,12.0,car
956.0,57.0,female,3.0,rent,rich,little,1231.0,24.0,radio/TV
957.0,49.0,male,1.0,own,little,rich,3656.0,30.0,radio/TV
958.0,37.0,male,1.0,own,little,moderate,1154.0,9.0,radio/TV
959.0,45.0,male,1.0,own,little,little,4006.0,28.0,car
960.0,30.0,male,2.0,free,moderate,moderate,3069.0,24.0,furniture/equipment
961.0,30.0,male,2.0,rent,little,little,1740.0,6.0,radio/TV
962.0,47.0,male,2.0,own,little,moderate,2353.0,21.0,car
963.0,29.0,male,2.0,own,little,little,3556.0,15.0,car
964.0,35.0,male,2.0,own,quite rich,little,2397.0,24.0,radio/TV
965.0,22.0,male,1.0,own,little,moderate,454.0,6.0,repairs
966.0,26.0,female,2.0,own,little,moderate,1715.0,30.0,radio/TV
967.0,23.0,male,1.0,own,quite rich,moderate,2520.0,27.0,radio/TV
968.0,54.0,female,3.0,rent,little,little,3568.0,15.0,radio/TV
969.0,29.0,male,2.0,rent,little,little,7166.0,42.0,radio/TV
970.0,40.0,male,1.0,own,little,little,3939.0,11.0,car
971.0,22.0,male,2.0,own,moderate,moderate,1514.0,15.0,repairs
972.0,43.0,male,1.0,own,little,little,7393.0,24.0,car
973.0,29.0,female,0.0,rent,little,little,1193.0,24.0,car
974.0,36.0,male,2.0,rent,little,little,7297.0,60.0,business
975.0,33.0,female,2.0,own,little,little,2831.0,30.0,radio/TV
976.0,57.0,female,1.0,own,quite rich,rich,1258.0,24.0,radio/TV
977.0,64.0,female,2.0,own,little,moderate,753.0,6.0,radio/TV
978.0,42.0,male,2.0,own,little,moderate,2427.0,18.0,business
979.0,47.0,male,1.0,own,little,little,2538.0,24.0,car
980.0,25.0,male,2.0,rent,moderate,moderate,1264.0,15.0,car
981.0,49.0,male,2.0,own,little,moderate,8386.0,30.0,furniture/equipment
982.0,33.0,male,3.0,rent,little,little,4844.0,48.0,business
983.0,28.0,female,3.0,own,moderate,rich,2923.0,21.0,car
984.0,26.0,male,2.0,own,little,little,8229.0,36.0,car
985.0,30.0,male,1.0,own,little,little,2028.0,24.0,furniture/equipment
986.0,25.0,female,2.0,rent,little,little,1433.0,15.0,furniture/equipment
987.0,33.0,male,2.0,own,little,rich,6289.0,42.0,business
988.0,64.0,female,2.0,own,moderate,little,1409.0,13.0,radio/TV
989.0,29.0,male,3.0,free,little,little,6579.0,24.0,car
990.0,48.0,male,1.0,own,little,moderate,1743.0,24.0,radio/TV
991.0,37.0,male,1.0,own,little,little,3565.0,12.0,education
992.0,34.0,male,1.0,own,moderate,little,1569.0,15.0,radio/TV
993.0,23.0,male,1.0,rent,little,little,1936.0,18.0,radio/TV
994.0,30.0,male,3.0,own,little,little,3959.0,36.0,furniture/equipment
995.0,50.0,male,2.0,own,little,little,2390.0,12.0,car
996.0,31.0,female,1.0,own,little,little,1736.0,12.0,furniture/equipment
997.0,40.0,male,3.0,own,little,little,3857.0,30.0,car
998.0,38.0,male,2.0,own,little,little,804.0,12.0,radio/TV
999.0,23.0,male,2.0,free,little,little,1845.0,45.0,radio/TV
1000.0,27.0,male,2.0,own,moderate,moderate,4576.0,45.0,car
